"","call_out","class_size","experience"
"1",30.4959793479203,23.6128823470703,14.0264569172592
"2",30.2993870951536,23.006321454722,13.5801030241485
"3",28.2099091513909,21.7666901578595,14.0024056933081
"4",29.6154092265798,23.4417653309984,14.5110198489083
"5",29.6138562808523,23.6545349860865,15.5190723389553
"6",28.6154683790625,20.59054068862,12.7330743409948
"7",29.4506054772109,22.6413467634303,13.9527465549661
"8",30.9326473956438,24.7172109822129,14.45842532294
"9",30.4011832122671,23.4765860872468,12.512649807166
"10",29.9199640554594,24.2517978417785,14.7798022075117
"11",29.0136800069606,21.6006853453068,14.0777246850958
"12",29.786443307808,22.7826326731565,14.8663057125916
"13",29.1923109068116,23.5109502313714,15.3732560466929
"14",29.5748012417436,23.4886469277379,14.7689993285149
"15",30.4620707454416,23.9594675814377,14.9987195383057
"16",28.9236447779934,20.0830344665811,12.6532294164051
"17",30.0343346815695,21.662692430356,13.1326978487051
"18",31.7747513589798,25.0619088519989,13.9369385349396
"19",29.2159192397168,22.1779027445259,13.2581097058157
"20",30.9396873928359,22.7935806628803,13.5437197242726
"21",31.2815360087542,24.1690445125525,15.168303641984
"22",29.8106155106305,23.6053116942181,13.8631355546837
"23",30.7108003351866,24.1927317769608,13.6117721788687
"24",30.8977159470081,23.391295081873,13.634658191202
"25",30.6898346310964,22.9610886118038,12.2815298587061
"26",31.167295771981,24.3291457097622,11.4338197590101
"27",29.2342412631266,22.1403584245543,14.0518259445114
"28",30.2044508899352,22.6490595846475,14.560233341871
"29",31.2095354036666,23.4874098124302,12.4171084080095
"30",29.1371590444866,20.9698690459254,12.7495625908576
"31",29.2848924315747,23.3143812132257,15.2404469628676
"32",30.2224750619043,23.486066212739,14.3837897108078
"33",29.3215281285327,22.1826340898939,14.825570081308
"34",29.0442689652844,22.6123811803928,15.1116063081064
"35",29.1463613702945,22.5013862106324,14.7600480988604
"36",29.4579738976594,21.928222983131,13.2195284278794
"37",29.1271901419689,23.2245336793097,15.2366589308423
"38",29.9630919079694,22.7320517490113,12.6771615162186
"39",30.2290502200326,23.1804830185275,13.4071118612989
"40",30.1099495770678,23.6880537539188,14.0962410800787
"41",30.9225474254881,23.4772513326161,14.1909736761298
"42",29.9473042088121,23.612880686065,14.4009376747079
"43",31.1301890835034,24.5002909638557,14.4492460032623
"44",28.2839148578461,20.4465351448698,14.0167731808653
"45",28.8270038720968,21.5096853079231,13.0827448172039
"46",31.0049860136405,23.7000772312962,12.481415492111
"47",30.3973195058531,23.5383339945299,14.4518279663324
"48",30.494482765508,23.2264520987286,13.4272387034469
"49",29.260567909305,22.4236748938429,14.6427309384274
"50",29.7659014546522,23.750683917414,14.9940902873675
"51",29.6440410159648,22.6599608593012,13.3599763692406
"52",30.0993832811384,23.2578516369793,14.9369144082762
"53",29.4634494688822,23.3683781443338,13.0804265252694
"54",28.9169480641726,21.7539627027572,15.1222269758231
"55",30.2823399417571,23.152864445011,13.9974273163977
"56",28.2375939553128,21.6471100273798,13.4674152674005
"57",30.9750408877036,25.1763428183364,14.2350101604645
"58",29.1560621805873,22.9718020947505,14.7530602813159
"59",30.2032748259437,22.3071688901683,13.3316115864525
"60",29.8769129535085,22.7395398379606,14.1407227391578
"61",29.3758811744303,23.7171293580469,16.4773943324112
"62",30.598727346196,23.0996895578209,13.1644988265451
"63",30.6341028961901,22.9526979113695,13.884297821099
"64",30.8512110369876,24.4878978015451,15.0215601502359
"65",31.0760913231995,23.5592137418436,12.6063893664527
"66",29.4405792289984,23.7474073979868,16.3109243478926
"67",29.5688769144078,22.3818223376265,13.4746639702068
"68",29.52031422582,23.1833223182327,13.300445330022
"69",29.0734194292737,22.1967240870565,14.2161407270351
"70",28.4781828506703,21.088576304257,15.8767964581074
"71",30.1944519931531,24.7468654391182,16.9141486171624
"72",32.3546510407774,25.1040912996677,13.8564094174511
"73",28.8912651199104,22.4298058274225,14.8418644594073
"74",31.1478047712142,22.7577603480486,12.6547604489649
"75",30.8218395454825,23.5138842215547,14.0109407587983
"76",29.1697298871679,21.1703244099302,12.0501565116746
"77",30.2125336565524,23.2291718618539,13.6323851759495
"78",30.9613071532885,24.7668589526578,14.9799204752012
"79",29.6485980236791,22.9382158517282,13.7752720942544
"80",30.2686551051484,22.9800710510597,13.9654895254125
"81",30.0480700173228,22.9574833489437,14.0653556913092
"82",29.8946730365686,22.3669334283504,14.1164146781434
"83",30.2148834941668,23.4970403655811,13.9225747735337
"84",29.131446330736,22.164533615366,12.5839549869985
"85",29.7844717339889,23.4408477935549,13.2600859256489
"86",29.1300843174383,23.1051768350848,13.502875409127
"87",29.0737130693142,22.0801511415502,14.9464010720334
"88",29.5601249126278,22.6964512339975,14.323114501969
"89",30.5396013619884,22.8361759647338,13.2618895247809
"90",29.032862003297,22.1153783361814,15.2413386790249
"91",28.7963866601886,22.736654726975,15.3865731040142
"92",29.9554714228885,21.6435691972661,13.1274803988368
"93",30.2455366197376,22.4023635512237,14.4749703062349
"94",30.7031502649435,23.2285618490416,13.122483677353
"95",28.6730117076573,21.59916236558,13.7942026066374
"96",30.6929911475579,23.5667537370762,14.2907030161018
"97",28.0308422343019,21.184017196165,15.5398719017312
"98",28.8032071221824,21.4891619106994,14.9580666673004
"99",30.4424332911535,22.8372984820435,13.5042762845091
"100",30.8774361193742,24.3891078721838,14.7586941471429
"101",30.6933171973571,23.9621453356392,14.8119296570521
"102",29.7323439748746,22.4684361727343,13.090928393302
"103",29.9951880803499,23.5484214004224,14.1221867649349
"104",30.074693703742,23.1785400641985,12.6321846317734
"105",30.4701055280501,24.74371667834,14.955672852369
"106",29.9284831245404,23.2348591591379,14.1990361888296
"107",30.8060519844918,24.0021100954354,14.8439268913086
"108",31.8204196022454,24.420928341186,13.9909063052219
"109",30.4075141418684,23.2672016461321,13.8004553330816
"110",28.9953244471599,22.5307747580991,14.9549160162098
"111",30.2156850313604,23.4740312467452,12.5837187139467
"112",29.46311315983,21.9460909787877,12.7898346584619
"113",31.4074009854763,24.3862466670925,12.8296230473186
"114",29.7188645049874,23.4470869792005,14.0864478098645
"115",29.2689659737867,22.6157626732361,13.6371327855899
"116",29.6446239401311,22.6404722518573,13.5996731770684
"117",29.7410990183354,23.3498096152615,14.8652576328197
"118",30.9332672046739,23.1168918843482,13.4642465104408
"119",31.2732203225702,23.6528571556262,14.9233829978234
"120",31.165775502363,23.5003887338815,13.0200168399455
"121",29.8789925196782,22.8187313699078,13.7782501322677
"122",31.4014213242355,23.1259144582567,13.1352413671776
"123",30.6445992993441,23.1412209157154,13.5158659023704
"124",30.3952254404081,22.7150053971194,12.8489153270542
"125",28.4691298917854,21.2638317570424,15.0996929242349
"126",30.1644432148137,24.3989924591875,14.7557064192776
"127",29.8449184305072,22.8139898376752,14.382412214763
"128",29.7921084755025,23.6081274742004,15.6486977167761
"129",31.2763634768746,23.0049112984573,12.2635505319235
"130",29.9315754438161,22.9484718902862,13.1737129008265
"131",28.4271613561803,22.0444725391282,14.8582553261298
"132",29.7636190702673,22.6153425655922,14.8507714817259
"133",30.0180323202035,23.0150510137926,14.3616299214915
"134",30.089577767743,24.2394750678831,15.4473754442693
"135",31.6587668312388,25.6795085771287,14.8962232262191
"136",28.8342112600467,21.5848048849215,12.8594417968888
"137",31.5229280689415,24.0656297177444,13.2120249564851
"138",29.5746379819971,21.6049027328084,12.9394349083399
"139",27.9264380308978,21.1744129270371,13.4369291507061
"140",31.5264725547557,24.2477270209485,13.8824313977456
"141",29.388010119562,22.4252222124372,14.5834990118166
"142",30.3687727382365,22.8740116960416,13.2077862757202
"143",31.5472573834425,24.475703844067,13.8489653801433
"144",31.3723717954397,24.2024379237234,12.7949778483731
"145",31.0405600623879,24.983904789119,13.5377812625636
"146",30.3477006825563,23.6649513243983,13.8781024515448
"147",31.0940479142007,24.5106213454414,13.1414318016117
"148",29.4235530180406,21.9924895543406,13.2968940175732
"149",27.5858188765919,21.3322899369528,13.9772138496223
"150",31.2645024232346,24.2891393607954,14.1161276277114
"151",29.831081429248,21.5842877356754,14.0220189107833
"152",29.5601599589102,21.9249854258493,14.0472005418614
"153",29.9971711242471,22.0604146599258,13.192231173198
"154",30.960105783972,23.7735232455527,13.269291125979
"155",29.9590263649833,23.2444552527346,13.8670319887275
"156",29.9889799564798,23.2773330684307,13.0665806732646
"157",29.6303855567294,22.2106716112214,13.8698321470928
"158",30.629046807312,22.7255038235062,12.931865046131
"159",29.1959906148095,22.2392653868361,15.0910891714763
"160",30.0385260262612,24.3513103461476,15.9167302581892
"161",28.9257694708808,21.9751953843094,13.8630992664321
